#This file contains the count of Vaisala NLDN lightning strikes within a 0.1 degree grid cell for the specified day as defined by the UTC/GMT time zone.
#File written at Sun Oct  6 02:08:03 EDT 2019.
#ZDAY,CENTERLON,CENTERLAT,TOTAL_COUNT
20191001,-78.2,18,1
20191001,-78.1,18,7
20191001,-77.9,18,5
20191001,-77.8,18,2
20191001,-77.7,18,13
20191001,-77.6,18,3
20191001,-77.5,18,3
20191001,-77.3,18,10
20191001,-77.2,18,2
20191001,-77.1,18,5
20191001,-76.9,18,7
20191001,-76.8,18,15
20191001,-76.7,18,7
20191001,-76.6,18,8
20191001,-76.5,18,7
20191001,-76.4,18,9
20191001,-76.3,18,4
20191001,-76.2,18,2
20191001,-76.1,18,13
20191001,-75.9,18,4
20191001,-75.8,18,1
20191001,-75.5,18,4
20191001,-75.3,18,1
20191001,-74.6,18,1
20191001,-74.5,18,1
20191001,-80,19,1
20191001,-79,19,2
20191001,-78,19,7
20191001,-77,19,6
20191001,-76,19,14
20191001,-75,19,1
20191001,-81.3,19,1
20191001,-80.1,19,1
20191001,-79.8,19,26
20191001,-79.7,19,16
20191001,-79.6,19,6
20191001,-79.4,19,3
20191001,-79.3,19,3
20191001,-79.2,19,15
20191001,-79.1,19,11
20191001,-78.8,19,2
20191001,-78.6,19,1
20191001,-78.5,19,2
20191001,-78.4,19,1
20191001,-78.3,19,2
20191001,-78.2,19,14
20191001,-78.1,19,27
20191001,-77.9,19,13
20191001,-77.7,19,9
20191001,-77.6,19,22
20191001,-77.5,19,14
20191001,-77.4,19,4
20191001,-77.3,19,4
20191001,-77.2,19,2
20191001,-77.1,19,5
20191001,-76.9,19,15
20191001,-76.8,19,1
20191001,-76.7,19,4
20191001,-77.3,45.3,39
20191001,-77.2,45.3,22
20191001,-77.1,45.3,9
20191001,-76.9,45.3,3
20191001,-76.8,45.3,2
20191001,-76.7,45.3,2
20191001,-76.6,45.3,2
20191001,-76.2,45.3,1
20191001,-75.7,45.3,2
20191001,-75.6,45.3,5
20191001,-75.5,45.3,7
20191001,-75.4,45.3,6
20191001,-75.3,45.3,8
20191001,-75.1,45.3,7
20191001,-74.9,45.3,5
20191001,-74.8,45.3,1
20191001,-74.7,45.3,1
20191001,-74.5,45.3,1
20191001,-74.4,45.3,2
20191001,-74.3,45.3,2
20191001,-74.2,45.3,1
20191001,-73.8,45.3,4
20191001,-73.7,45.3,2
20191001,-73.6,45.3,3
20191001,-73.5,45.3,1
20191001,-73.4,45.3,9
20191001,-73.3,45.3,10
20191001,-73.2,45.3,8
20191001,-73.1,45.3,19
20191001,-72.9,45.3,11
20191001,-72.8,45.3,11
20191001,-72.7,45.3,2
20191001,-72.6,45.3,5
